nth  vaddr      bind type lib          name
4396 0x005c93c4 NONE FUNC MFC42.DLL    CButton::OnChildNotify
3574 0x005c93c8 NONE FUNC MFC42.DLL    CButton::GetRuntimeClass
4219 0x005c93cc NONE FUNC MFC42.DLL    CListBox::MeasureItem
2581 0x005c93d0 NONE FUNC MFC42.DLL    CListBox::DrawItem
5265 0x005c93d4 NONE FUNC MFC42.DLL    CDialog::PreInitDialog
4376 0x005c93d8 NONE FUNC MFC42.DLL    CDialog::OnCancel
4998 0x005c93dc NONE FUNC MFC42.DLL    CDialog::OnSetFont
2514 0x005c93e0 NONE FUNC MFC42.DLL    CDialog::DoModal
6052 0x005c93e4 NONE FUNC MFC42.DLL    CDialog::SetOccDialogInfo
1775 0x005c93e8 NONE FUNC MFC42.DLL    CDialog::CheckAutoCenter
5280 0x005c93ec NONE FUNC MFC42.DLL    CDialog::PreTranslateMessage
4425 0x005c93f0 NONE FUNC MFC42.DLL    CDialog::OnCmdMsg
793  0x005c93f4 NONE FUNC MFC42.DLL    CSpinButtonCtrl::~CSpinButtonCtrl
812  0x005c93f8 NONE FUNC MFC42.DLL    CUIntArray::~CUIntArray
860  0x005c92f8 NONE FUNC MFC42.DLL    CString::operator
795  0x005c9400 NONE FUNC MFC42.DLL    CStatic::~CStatic
559  0x005c9404 NONE FUNC MFC42.DLL    CUIntArray::CUIntArray
5951 0x005c9408 NONE FUNC MFC42.DLL    CWnd::SetDlgItemInt
6880 0x005c940c NONE FUNC MFC42.DLL    CWnd::ScreenToClient
2818 0x005c9410 NONE FUNC MFC42.DLL    CString::Format
924  0x005c92e4 NONE FUNC MFC42.DLL    operator+
6215 0x005c9418 NONE FUNC MFC42.DLL    CWnd::ShowWindow
2114 0x005c941c NONE FUNC MFC42.DLL    CSpinButtonCtrl::Create
2089 0x005c9420 NONE FUNC MFC42.DLL    CEdit::Create
2116 0x005c9424 NONE FUNC MFC42.DLL    CStatic::Create
6442 0x005c9428 NONE FUNC MFC42.DLL    CWnd::CreateEx
2380 0x005c942c NONE FUNC MFC42.DLL    CRect::DeflateRect
2645 0x005c9430 NONE FUNC MFC42.DLL    CDialog::EndDialog
3803 0x005c9434 NONE FUNC MFC42.DLL    CListBox::GetText
5572 0x005c9438 NONE FUNC MFC42.DLL    CString::ReleaseBuffer
2915 0x005c943c NONE FUNC MFC42.DLL    CString::GetBuffer
3097 0x005c9440 NONE FUNC MFC42.DLL    CWnd::GetDlgItemTextA
2642 0x005c9444 NONE FUNC MFC42.DLL    CWnd::EnableWindow
6663 0x005c9448 NONE FUNC MFC42.DLL    CString::Find
6144 0x005c944c NONE FUNC MFC42.DLL    CUIntArray::SetSize
5862 0x005c9450 NONE FUNC MFC42.DLL    CUIntArray::SetAtGrow
5450 0x005c9454 NONE FUNC MFC42.DLL    CArchive::ReadCount
6394 0x005c9458 NONE FUNC MFC42.DLL    CArchive::WriteCount
5440 0x005c945c NONE FUNC MFC42.DLL    CArchive::Read
6383 0x005c9460 NONE FUNC MFC42.DLL    CArchive::Write
3721 0x005c9464 NONE FUNC MFC42.DLL    CStatic::GetRuntimeClass
3719 0x005c9468 NONE FUNC MFC42.DLL    CSpinButtonCtrl::GetRuntimeClass
323  0x005c946c NONE FUNC MFC42.DLL    CDC::CDC
755  0x005c9470 NONE FUNC MFC42.DLL    CPaintDC::~CPaintDC
5789 0x005c9474 NONE FUNC MFC42.DLL    CDC::SelectObject
2754 0x005c9478 NONE FUNC MFC42.DLL    CDC::FillSolidRect
